dataset,gene,position,n_classes,n_kmers,observed,null_mean,null_sd,null_p95,null_max,empirical_p,z_score
SARS-CoV-2,ORF1ab,1,19,1,0.010030995680175339,0.004339950536317814,0.0006884703045873058,0.005562681632605157,0.0068689852692216365,0.000999000999000999,8.266217302239266
SARS-CoV-2,ORF1ab,10,19,1,0.02497641504865726,0.004377879553542442,0.0007060760592628974,0.005515207487250855,0.006765016180996733,0.000999000999000999,29.17325297308409
SARS-CoV-2,ORF1ab,19,19,1,0.013225248339396556,0.004390127488334952,0.0006722571564157128,0.005525273921127913,0.00692078233777851,0.000999000999000999,13.14247199415176
SARS-CoV-2,ORF1ab,28,19,1,0.015745181317967573,0.004315214092233628,0.0006883237353077124,0.005461242250635412,0.0065736425200083465,0.000999000999000999,16.605510807533353
SARS-CoV-2,ORF1ab,37,19,1,0.016178747028224815,0.004338781651430116,0.000679319535499553,0.0054648224117742,0.006527867395994507,0.000999000999000999,17.42915484991597
SARS-CoV-2,ORF1ab,46,19,1,0.01909654013490252,0.004394499506435941,0.0007089294585194148,0.0055975343430577675,0.006590074046133957,0.000999000999000999,20.738368890991637
SARS-CoV-2,ORF1ab,55,19,1,0.037024565989047735,0.004377694370497296,0.0006988739195769776,0.005542951289081801,0.00679797102679084,0.000999000999000999,46.71353545187566
SARS-CoV-2,ORF1ab,64,19,1,0.02412427091175661,0.004351545197566159,0.0007041853264422932,0.005511946283075079,0.006352560060934984,0.000999000999000999,28.0788664172922
SARS-CoV-2,ORF1ab,73,19,1,0.024407065760740674,0.00440497692493369,0.0006981528279522125,0.005608811839819987,0.006628179827451136,0.000999000999000999,28.650014774667785
SARS-CoV-2,ORF1ab,82,19,1,0.013037336469898065,0.00432940760548183,0.0006421261854695429,0.005435477043359316,0.006399400253511186,0.000999000999000999,13.561086685864904
SARS-CoV-2,ORF1ab,91,19,1,0.010993768387317797,0.004301915512243796,0.0006679548112413133,0.0054068422105913285,0.006686672470055822,0.000999000999000999,10.018421549562614
SARS-CoV-2,ORF1ab,100,19,1,0.010508088564003489,0.004390019771514605,0.0006694893822218963,0.005491698965175659,0.0066676661256736235,0.000999000999000999,9.138410488579048
SARS-CoV-2,ORF1ab,109,19,1,0.008227650318320198,0.004303218618741212,0.000687995900182851,0.005481333043112813,0.007233655976604216,0.000999000999000999,5.7041498336486836
SARS-CoV-2,ORF1ab,118,19,1,0.02638661744004044,0.004407713599096866,0.0007146966188373643,0.0055734139330864034,0.006920254797836493,0.000999000999000999,30.752774340387738
SARS-CoV-2,ORF1ab,127,19,1,0.02080123631821625,0.004433119795425577,0.0006924361897831465,0.005593836542322416,0.006821880612528028,0.000999000999000999,23.638447505057115
SARS-CoV-2,ORF1ab,136,19,2,0.04530889685991871,0.006020898257682421,0.0006918504369210216,0.00725825959942482,0.008456746427288239,0.000999000999000999,56.7868378851963
SARS-CoV-2,ORF1ab,145,19,1,0.011432547241392699,0.004310175861095967,0.0006547812110748003,0.0054174839960100425,0.006513051423670672,0.000999000999000999,10.877482829120293
SARS-CoV-2,ORF1ab,154,19,1,0.023791044663614588,0.004347442970779334,0.0007010205051717272,0.005571079083018853,0.0068229927115984555,0.000999000999000999,27.73613831463062
SARS-CoV-2,ORF1ab,163,19,1,0.01736754493210128,0.004341786089013709,0.0007004832535426169,0.005535860656747457,0.006585301159964122,0.000999000999000999,18.59538936471533
SARS-CoV-2,ORF1ab,172,19,1,0.010834335427002942,0.004302586398989087,0.0006691524649028578,0.005464134160145396,0.007231272982731888,0.000999000999000999,9.761226881174355
SARS-CoV-2,ORF1ab,181,19,1,0.01790122336638127,0.004265493177495696,0.0006734765743043667,0.005394911571767614,0.006466174410532962,0.000999000999000999,20.246777258689225
SARS-CoV-2,ORF1ab,190,19,1,0.008816345609163017,0.004233102089543564,0.0006794873891114017,0.005360599859284272,0.006731934994883446,0.000999000999000999,6.745148759292177
SARS-CoV-2,ORF1ab,199,19,1,0.02253821486881816,0.004320081111195881,0.0006597113810653492,0.005443343593165864,0.0070113890452869095,0.000999000999000999,27.61530917990581
SARS-CoV-2,ORF1ab,208,19,1,0.018609616452009786,0.00429072881764913,0.0006657519590360352,0.0054195109137100544,0.006613976944292456,0.000999000999000999,21.50784153169216
SARS-CoV-2,ORF1ab,217,19,1,0.02247175394760095,0.004346137462532269,0.0006593369012411653,0.005416473364310754,0.0067121328817246,0.000999000999000999,27.490675026603558
SARS-CoV-2,ORF1ab,226,19,1,0.04865486303212977,0.004343164111263648,0.0006986137898662456,0.005513908766365761,0.0067468308146125915,0.000999000999000999,63.42803357682061
SARS-CoV-2,ORF1ab,235,19,1,0.027550852730906752,0.004356822747075382,0.0006721101930004245,0.005504981261067109,0.006320212545526531,0.000999000999000999,34.50926682169321
SARS-CoV-2,ORF1ab,244,19,1,0.07840711601527332,0.004321547800878948,0.0007488122227792645,0.005565076332797929,0.006687057910809253,0.000999000999000999,98.93744514401895
SARS-CoV-2,ORF1ab,253,19,1,0.08064626120137523,0.004317905315616546,0.0007244007970055303,0.005588892549781828,0.007106951144276294,0.000999000999000999,105.36757579682228
SARS-CoV-2,ORF1ab,262,19,1,0.034817506830860934,0.004355798675958817,0.0007255501323978433,0.005621811469023199,0.006493893469693681,0.000999000999000999,41.98429136003375
SARS-CoV-2,ORF1ab,271,19,1,0.02199566133545096,0.0043328389447430775,0.0006825680180211796,0.005490695058770412,0.0062679585113760965,0.000999000999000999,25.877014340510478
SARS-CoV-2,ORF1ab,280,19,1,0.020041038848981393,0.004325842180684816,0.0006651357603740344,0.005470489625413138,0.006580057254721105,0.000999000999000999,23.627051204492822
SARS-CoV-2,ORF1ab,289,19,1,0.018252082443025622,0.0043695306618340155,0.0006647158932362664,0.005490744501397528,0.006621614176994178,0.000999000999000999,20.88494035188835
SARS-CoV-2,ORF1ab,298,19,1,0.010608558656005285,0.004237798593527532,0.0006880660353549739,0.0054460751871171055,0.006640280707938435,0.000999000999000999,9.258936984429223
